Academic Period,Academic Level,Instructional Method,Course Subjects,Section,Course Definition,Abbreviated Title,Description,All Instructors,Enrollment Count,Section Capacity,Section Status,All Conflicting Activity Offerings,Section Details,Locations,Meeting Patterns,Meeting Day Patterns,Start Time,End Time,Subject,Course Number,Section Number,Hidden Course Section
Fall 2023,Undergraduate,Lecture,"Black Studies

English

Latinx and Latin Amer Studies",BLST 461-01/ ENGL 491-01/ LLAS 461-01 - The Creole Imagination,BLST 461/ ENGL 491/ LLAS 461 - The Creole Imagination,The Creole Imagination,"(Offered as ENGL 491, BLST 461 [CLA], and LLAS 461) What would it mean to write in the language in which we dream? A language that we can hear, but cannot (yet) see? Is it possible to conceive a language outside the socio-symbolic order? And can one language subvert the codes and values of another? Questions like these have animated the creolité/nation language debate among Caribbean intellectuals since the mid-1970s, producing some of the most significant francophone and anglophone writing of the twentieth century. This course reads across philosophy, cultural theory, politics, and literature in order to consider the claims such works make for the Creole imagination. We will engage the theoretical and creative work of Édouard Glissant, Maryse Condé, Wilson Harris, Derek Walcott, Kamau Brathwaite, Patrick Chamoiseau, Jamaica Kincaid, and Edwidge Danticat. We also will consider how these writers transform some of the fundamental ideas of psychoanalysis, poststructuralism, and critical historiography. At stake in our readings will be the various aesthetic and political aspects of postcolonial struggle–how to think outside the colonial architecture of language; how to contest and subvert what remains from history’s violence; and how to evaluate the claims to authenticity of creolized New World cultural forms.
Limited to 20 students. Open to juniors and seniors. Fall semester. Professor Cobham-Sander.

How to handle overenrollment: Priority given to junior and senior majors in English and Black Studies.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, readings",C. Rhonda Cobham-Sander,10,20,Open,,Monday/Wednesday | 8:30 AM - 9:50 AM,,Monday/Wednesday | 8:30 AM - 9:50 AM,Monday/Wednesday,05:30,06:50,English,491,01,
Fall 2023,Undergraduate,Lecture,Black Studies,BLST 490-01 - Special Topics (Special Topics),BLST 490 - Special Topics,Special Topics,"Independent reading course.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: written work, independent research, and oral presentations",,0,0,Open,,,,,,,,Black Studies,490,01,
Fall 2023,Undergraduate,Lecture,Black Studies,BLST 498-01 - Senior Honors (Senior Honors),BLST 498 - Senior Honors,Senior Honors,"Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: written work, independent research and oral presentations.",,2,0,Open,,,,,,,,Black Studies,498,01,
Fall 2023,Undergraduate,Lecture,Black Studies,BLST 498D-01 - Senior Honors (Senior Honors),BLST 498D - Senior Honors,Senior Honors,"A double course.
Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: written work, independent research and oral presentations.",,0,0,Open,,,,,,,,Black Studies,498D,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 151-01 - Introductory Chemistry,CHEM 151 - Introductory Chemistry,Introductory Chemistry,"This course examines the structure of matter from both a microscopic and macroscopic viewpoint. We begin with a detailed discussion of the physical structure of atoms, followed by an analysis of how the interactions between atoms lead to the formation of molecules. The relationship between the structures of molecular compounds and their properties is then described. Experiments in the laboratory component provide experience in conducting quantitative chemical measurements and illustrate principles discussed in the lectures. Placement into CHEM 151 is determined by the chemistry department.
Each laboratory section is limited to 20 students. In the fall, sufficient laboratory sections will be added to meet total enrollment. The spring semester is limited to two laboratory sections. Four class hours and three hours of laboratory per week. 
Fall Semester: Professor Burkett. Spring Semester: Professor Durr. 

How to handle overenrollment: In the spring, preference is given to Amherst College first-year students.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on quantitative work, group work, in-class quizzes and exams, and laboratory work.","Kenneth Rotondi

Richmond Ampiah-Bonney

Sandra Burkett

Sheila Jaswal",2,32,Open,,Monday/Wednesday | 8:30 AM - 9:50 AM,,Monday/Wednesday | 8:30 AM - 9:50 AM,Monday/Wednesday,05:30,06:50,Chemistry,151,01,
Fall 2023,Undergraduate,Laboratory,Chemistry,CHEM 151L-01 - Intro Chemistry Lab,CHEM 151L - Intro Chemistry Lab,Intro Chemistry Lab,"Lab Section for CHEM 151.

How to handle overenrollment: In Spring, preference to Amherst College first-year students. 

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on quantitative work, group work, in-class quizzes and exams, and laboratory work.","Kenneth Rotondi

Richmond Ampiah-Bonney

Sandra Burkett

Sheila Jaswal",0,32,Open,,Monday | 3:00 PM - 6:00 PM,,Monday | 3:00 PM - 6:00 PM,Monday,12:00,15:00,Chemistry,151L,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 155-01 - Fundamtl Chem Principles,CHEM 155 - Fundamtl Chem Principles,Fundamtl Chem Principles,"A study of the basic concepts of chemistry for students particularly interested in natural science. Topics to be covered include atomic and molecular structure, spectroscopy, states of matter, and stoichiometry. These physical principles are applied to a variety of inorganic, organic, and biochemical systems. Both individual and bulk properties of atoms and molecules are considered with an emphasis on the conceptual foundations and the quantitative chemical relationships which form the basis of chemical science. This course is designed to utilize the background of those students with strong preparation in science and mathematics and to provide both breadth in subject matter and depth in coverage. Placement into CHEM 155 is determined by the chemistry department. Four hours of lecture and discussion and three hours of laboratory per week.
Each laboratory section is limited to 20 students. Sufficient sections will be added to meet total enrollment. 
Fall semester: Professors Leung and Marshall.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students will engage in low stakes group activities, problem solving (both quantitative and qualitative), laboratory work,  and will be expected to attend lecture. Students will be assessed via online homework, laboratory reports, exams, and participation.","Helen Leung

Mark Marshall

Sheila Jaswal",5,0,Open,,Monday/Wednesday/Friday | 9:00 AM - 9:50 AM,,Monday/Wednesday/Friday | 9:00 AM - 9:50 AM,Monday/Wednesday/Friday,06:00,06:50,Chemistry,155,01,
Fall 2023,Undergraduate,Laboratory,Chemistry,CHEM 155L-01 - Fundamtl Chem Princ Lab,CHEM 155L - Fundamtl Chem Princ Lab,Fundamtl Chem Princ Lab,"Fundamental Principles of Chemistry Lab

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students will engage in low stakes group activities, problem solving (both quantitative and qualitative), laboratory work,  and will be expected to attend lecture. Students will be assessed via online homework, laboratory reports, exams, and participation.","Mark Marshall

Sheila Jaswal",0,0,Open,,Monday | 3:00 PM - 6:00 PM,,Monday | 3:00 PM - 6:00 PM,Monday,12:00,15:00,Chemistry,155L,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 161-01 - Chemical Principles,CHEM 161 - Chemical Principles,Chemical Principles,"As a bridge to prior learning, we will begin with the study of intermolecular forces and their ubiquitous role in chemistry and biology. We will then introduce chemical kinetics to understand the role temperature, concentration, and catalysts play in determining the speeds at which chemical reactions occur and to introduce the concept of chemical equilibrium. Through a thorough treatment of the laws of thermodynamics, we will develop a quantitative understanding of the factors which determine the extent to which chemical reactions can occur before reaching the state of equilibrium. The course will consist of asynchronous lectures and synchronous group work, discussion, problem solving, and labs. Appropriate laboratory experiments supplement the lecture material. Four class hours and three hours of laboratory work per week.
Requisite: CHEM 151, or consent of the instructor; and MATH 111 or placement by the Mathematics department into MATH 121 or higher.
Fall and Spring semesters: Lecturer Cartier.

How to handle overenrollment: In the fall, preference is given to Amherst College sophomores.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Group work, in-class quizzes and exams, quantitative work, lab work, peer evaluation.",Stephen Cartier,19,0,Open,,Monday/Wednesday/Friday | 8:30 AM - 9:50 AM,,Monday/Wednesday/Friday | 8:30 AM - 9:50 AM,Monday/Wednesday/Friday,05:30,06:50,Chemistry,161,01,
Fall 2023,Undergraduate,Laboratory,Chemistry,CHEM 161L-01 - Chemical Principles Lab,CHEM 161L - Chemical Principles Lab,Chemical Principles Lab,"Chemical Principles Lab

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: See CHEM 161",Stephen Cartier,13,0,Open,,Tuesday | 8:00 AM - 11:00 AM,,Tuesday | 8:00 AM - 11:00 AM,Tuesday,05:00,08:00,Chemistry,161L,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 221-01 - Organic Chemistry I,CHEM 221 - Organic Chemistry I,Organic Chemistry I,"A study of the structure of organic compounds and of the influence of structure upon the chemical and physical properties of these substances. The following topics are emphasized: hybridization, resonance theory, stereochemistry, acid-base properties, nucleophilic substitution reactions, and spectroscopy. Periodically, examples will be chosen from recent articles in the chemical, biochemical, and biomedical literature. Laboratory work introduces the student to basic laboratory techniques and methods of instrumental analysis. Each laboratory section is limited to 20 students. In the fall, sufficient sections will be added to meet total enrollment. The spring semester is limited to two laboratory sections.  Three hours of lecture, one hour of discussion section, and three and one-half hours of laboratory per week.
Requisite: CHEM 161 or CHEM 165. Fall Semester: Professor Hansen. Spring Semester: The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students will learn the fundamentals of organic chemistry and will rely heavily on concepts drawn from the prerequisite introductory chemistry courses. The instructional time in this course comprises three components: lecture (three times a week for 50 minutes each), discussion section (once a week for 50 minutes), and laboratory (once a week for up to 3 1/2 hours). Regular office hours will be offered throughout each week by all course instructors. Grades will be determined by performance on exams, homework assignments, and laboratory reports.","David Hansen

Lauren Reutenauer",85,0,Open,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,Monday/Wednesday/Friday,07:00,07:50,Chemistry,221,01,
Fall 2023,Undergraduate,Laboratory,Chemistry,CHEM 221L-02 - Organic Chem I Lab,CHEM 221L - Organic Chem I Lab,Organic Chem I Lab,"Organic Chemistry I Lab

How to handle overenrollment: See CHEM 221

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: See CHEM 221","David Hansen

Lauren Reutenauer",19,20,Open,,Tuesday | 8:00 AM - 11:20 AM,,Tuesday | 8:00 AM - 11:20 AM,Tuesday,05:00,08:20,Chemistry,221L,02,
Fall 2023,Undergraduate,Discussion,Chemistry,CHEM 231-01F - Organic Chemistry II,CHEM 231 - Organic Chemistry II,Organic Chemistry II,"A continuation of CHEM 221. The second semester of the organic chemistry course first examines the chemistry of aromatic derivatives and then in considerable detail the chemistry of the carbonyl group and some classic methods of organic synthesis. Periodically, examples will be chosen from recent articles in the chemical, biochemical, and biomedical literature. The laboratory experiments illustrate both fundamental synthetic procedures and some elementary mechanistic investigations. Four hours of class and three and a half hours of laboratory per week.
Requisite: CHEM 221. Fall Semester: Professors Wiscons; Spring Semester: The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students will continue to learn the fundamentals of organic chemistry and will rely heavily on concepts drawn from the first semester of organic chemistry (Chemistry 221). The instructional time in this course comprises three components: lecture (three times a week for 50 minutes each), discussion section (once a week for 50 minutes), and laboratory (once a week for up to 3 1/2 hours). Regular office hours will be offered throughout each week by all course instructors. Grades will be determined by performance on exams, homework assignments, and laboratory reports.",Ren Wiscons,13,0,Open,,Monday | 2:00 PM - 2:50 PM,,Monday | 2:00 PM - 2:50 PM,Monday,11:00,11:50,Chemistry,231,01F,
Fall 2023,Undergraduate,Laboratory,Chemistry,CHEM 231L-01 - Organic Chem II Lab,CHEM 231L - Organic Chem II Lab,Organic Chem II Lab,"SEE CHEM 231

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: SEE CHEM 231",Ren Wiscons,5,0,Open,,Thursday | 8:00 AM - 11:20 AM,,Thursday | 8:00 AM - 11:20 AM,Thursday,05:00,08:20,Chemistry,231L,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 290-01 - Special Topics (Special Topics),CHEM 290 - Special Topics,Special Topics,"Independent reading or research course. Full course.
Admission with consent of the instructor. Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work.",,0,0,Open,,,,,,,,Chemistry,290,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 351-01 - Quantum Chem/Spectrscopy,CHEM 351 - Quantum Chem/Spectrscopy,Quantum Chem/Spectrscopy,"The theory of quantum mechanics is developed and applied to spectroscopic experiments. Topics include the basic principles of quantum mechanics; the structure of atoms, molecules, and solids; and the interpretation of infrared, visible, and fluorescence spectra. Appropriate laboratory work will be arranged. Three hours of class and four hours of laboratory per week.
Requisite: CHEM 161 or 165, CHEM 221, MATH 121, PHYS 116 or 123. Limited to 24 students.
Fall semester: Professors Leung and Marshall.

How to handle overenrollment: Preference given to Amherst College chemistry majors, others by class year.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: In-class exams, quantitative work, laboratory work.","Helen Leung

Mark Marshall",12,24,Open,,Tuesday/Thursday | 10:00 AM - 11:20 AM,,Tuesday/Thursday | 10:00 AM - 11:20 AM,Tuesday/Thursday,07:00,08:20,Chemistry,351,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 371-01 - Inorganic Chemistry,CHEM 371 - Inorganic Chemistry,Inorganic Chemistry,"This course will discuss structure, bonding, and properties of transition metal-containing molecules and inorganic solids. Students will examine structure and bonding in transition metal complexes through molecular orbital and ligand field theories, with an emphasis on the magnetic, spectroscopic, and thermodynamic properties of transition metal complexes. The class will also examine reactions of transition metal complexes, including the unique chemistry of organometallic compounds. The laboratory experiments complement lecture material and include an independent project. Three hours of class, one hour of discussion and four hours of laboratory per week.
Requisite: CHEM 221 or consent of the instructor. Limited to 20 students.
Fall semester: Professor Durr.

How to handle overenrollment: Preference given to Amherst College chemistry majors, others by class year.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: An emphasis on quantitative work, in-class exams, engagement with primary scientific literature, group work, and laboratory work.",Christopher Durr,27,30,Open,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,Monday/Wednesday/Friday,07:00,07:50,Chemistry,371,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 390-01 - Special Topics (Special Topics),CHEM 390 - Special Topics,Special Topics,"Independent reading or research course. A full course.
Admission with consent of the instructor. Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work.",,0,0,Open,,,,,,,,Chemistry,390,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 490-01 - Special Topics (Special Topics),CHEM 490 - Special Topics,Special Topics,"Independent reading or research course. A full course.
Admission with consent of the instructor. Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work.",,0,0,Open,,,,,,,,Chemistry,490,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 490H-01 - Special Topics (Special Topics),CHEM 490H - Special Topics,Special Topics,"Independent reading or research course. A half course.
Admission with consent of the instructor. Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work.",,0,0,Open,,,,,,,,Chemistry,490H,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 498-01 - Senior Honors (Senior Honors),CHEM 498 - Senior Seminar,Senior Honors,"A full course.
Open to Senior Honors candidates with consent of the Department. Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work toward the writing of a senior honors thesis.",,4,0,Open,,Friday | 3:15 PM - 4:30 PM,,Friday | 3:15 PM - 4:30 PM,Friday,12:15,13:30,Chemistry,498,01,
Fall 2023,Undergraduate,Lecture,Chemistry,CHEM 498D-01 - Senior Honors (Senior Honors),CHEM 498D - Senior Honors,Senior Honors,"A double course. Open to Senior Honors candidates with consent of the Department.
Fall semester. The Department. 

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The course emphasizes readings from the primary scientific literature, independent research, quantitative work, and laboratory work toward the writing of a senior honors thesis.",,4,0,Open,,,,,,,,Chemistry,498D,01,
Fall 2023,Undergraduate,Lecture,Chinese,CHIN 101-01 - First-Year Chinese I,CHIN 101 - First-Year Chinese I,First-Year Chinese I,"This course, along with CHIN 102 in the spring semester, is an elementary introduction to Mandarin Chinese offered for students who have no Chinese-speaking backgrounds. The class takes an integrated approach to basic language skills of listening, speaking, reading, and writing, and it emphasizes pronunciation and the tones, Chinese character handwriting, and the most basic structure and patterns of Chinese grammar. The course meets five times per week (lectures on MWF and drill sessions on TTh).
Fall semester. Senior Lecturer Teng.

How to handle overenrollment: Majors, Amherst seniors, juniors, and then sophomores and first-years

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The Chinese language courses at Amherst emphasize the basic linguistic skills of listening, speaking, reading, and writing. Students who enroll in these classes will be expected to engage in intellectual skills and modes of learning, practice, and assessment such as:
--- Pronunciation and the tones
--- Listening comprehension
--- Speaking
--- Grammar
--- Reading comprehension
--- Memorizing and hand-writing of characters
--- Essays, translations, and other written works
--- Weekly assignments (listening, written, voice recording)
--- Quizzes and exams",Xiaoping Teng,2,18,Open,,Monday/Wednesday/Friday | 9:00 AM - 9:50 AM,,Monday/Wednesday/Friday | 9:00 AM - 9:50 AM,Monday/Wednesday/Friday,06:00,06:50,Chinese,101,01,
Fall 2023,Undergraduate,Lecture,Chinese,CHIN 201-01 - Second-Year Chinese I,CHIN 201 - Second-Year Chinese I,Second-Year Chinese I,"This course is designed for students who have completed first-year Chinese classes. The emphasis will be on the basic grammatical structures. The course reinforces the four skills (listening, speaking, reading, and writing) through vigorous drills and practices. There will be three class meetings and two drill sessions each week.
Requisite: CHIN 102 or equivalent. Fall semester. Senior Lecturer Teng.

How to handle overenrollment: Majors, Amherst seniors, juniors, and then sophomores and first-years

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The Chinese language courses at Amherst emphasize the basic linguistic skills of listening, speaking, reading, and writing. Students who enroll in these classes will be expected to engage in intellectual skills and modes of learning, practice, and assessment such as:
--- Pronunciation and the tones
--- Listening comprehension
--- Speaking
--- Grammar
--- Reading comprehension
--- Memorizing and hand-writing of characters
--- Essays, translations, and other written works
--- Weekly assignments (listening, written, voice recording)
--- Quizzes and exams",Xiaoping Teng,5,18,Open,,Monday/Tuesday/Wednesday/Thursday/Friday | 10:00 AM - 10:50 AM,,Monday/Tuesday/Wednesday/Thursday/Friday | 10:00 AM - 10:50 AM,Monday/Tuesday/Wednesday/Thursday/Friday,07:00,07:50,Chinese,201,01,
Fall 2023,Undergraduate,Lecture,Chinese,CHIN 301-01 - Third-Year Chinese I,CHIN 301 - Third-Year Chinese I,Third-Year Chinese I,"This course, alongside Chinese 302 in the spring semester, is our third-year class offered for students who have completed the first two years of Mandarin Chinese. We continue to emphasize pronunciation and intonation, practice listening and speaking, and work to improve our command of grammar with more complex syntax structures. The class will see a switch from textbook materials to selective authentic texts for the general Chinese reader, and introduce the students to a variety of topics, genres, and speech types ranging from literary works to media and popular cultural materials. Exposed to a significantly larger vocabulary, the students read and write with the aid of a dictionary as the class prepares them to become independent readers of idiomatic Chinese for the fourth-year level. The course meets five times per week (lectures on MWF and drill sessions on TTh). 
Requisite: CHIN 202 or equivalent. Fall semester. Senior Lecturer Tong.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The Chinese language courses at Amherst emphasize the basic linguistic skills of listening, speaking, reading, and writing. Students who enroll in these classes will be expected to engage in intellectual skills and modes of learning, practice, and assessment such as:
--- Pronunciation and the tones
--- Listening comprehension
--- Speaking
--- Grammar
--- Reading comprehension
--- Memorizing and hand-writing of characters
--- Essays, translations, and other written works
--- Weekly assignments (listening, written, voice recording)
--- Quizzes and exams",Tong Shen,2,0,Open,,Monday/Wednesday/Friday | 11:00 AM - 11:50 AM,,Monday/Wednesday/Friday | 11:00 AM - 11:50 AM,Monday/Wednesday/Friday,08:00,08:50,Chinese,301,01,
Fall 2023,Undergraduate,Lecture,Chinese,CHIN 401-01 - Fourth-Year Chinese I,CHIN 401 - Fourth-Year Chinese I,Fourth-Year Chinese I,"This course, along with Chinese 402 in the spring semester, is the most advanced class in our Chinese language curriculum. Giving consistent emphasis to listening, speaking, writing, and grammar, the course focuses on advanced reading of authentic and idiomatic texts of Mandarin Chinese. With a balanced consideration to various topics, genres, and speech types, literary works will make up the principal part of the fourth-year reading materials. Exposed to a large and sophisticated vocabulary, and with the aid of a dictionary, the students read independently as they become sensitive to the linguistic nuances and cultural references in the texts, and able to appreciate the aesthetic shades of the language. The course meets three times per week (MWF).
Requisite: CHIN 302 or equivalent. Fall semester. Senior Lecturer Shen.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: The Chinese language courses at Amherst emphasize the basic linguistic skills of listening, speaking, reading, and writing. Students who enroll in these classes will be expected to engage in intellectual skills and modes of learning, practice, and assessment such as:
--- Pronunciation and the tones
--- Listening comprehension
--- Speaking
--- Grammar
--- Reading comprehension
--- Memorizing and hand-writing of characters
--- Essays, translations, and other written works
--- Weekly assignments (listening, written, voice recording)
--- Quizzes and exams",Tong Shen,3,0,Open,,Monday/Wednesday/Friday | 12:00 PM - 12:50 PM,,Monday/Wednesday/Friday | 12:00 PM - 12:50 PM,Monday/Wednesday/Friday,09:00,09:50,Chinese,401,01,
Fall 2023,Undergraduate,Lecture,Chinese,CHIN 490-01 - Special Topics (Special Topics),CHIN 490 - Special Topics,Special Topics,"Independent Reading Course.
Fall and spring semester. Members of the Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on targeted skills, themes, and expectations will be jointly determined by the student and instructor; instruction in languages other than English.
The Chinese language courses at Amherst emphasize the basic linguistic skills of listening, speaking, reading, and writing. Students who enroll in these classes will be expected to engage in intellectual skills and modes of learning, practice, and assessment such as:
--- Pronunciation and the tones
--- Listening comprehension
--- Speaking
--- Grammar
--- Reading comprehension
--- Memorizing and hand-writing of characters
--- Essays, translations, and other written works
--- Weekly assignments (listening, written, voice recording)
--- Quizzes and exams",,0,0,Open,,,,,,,,Chinese,490,01,
Fall 2023,Undergraduate,Lecture,"Classics

Sexuality Wmn's & Gndr Studies",CLAS 123-01/ SWAG 123-01 - Greek Civilization,CLAS 123/ SWAG 123 - Greek Civilization,Greek Civilization,"(Offered as CLAS 123 and SWAG 123) We read in English the major authors from Homer in the eighth century BCE to Plato in the fourth century in order to trace the emergence of epic, lyric poetry, tragedy, comedy, history, and philosophy. How did the Greek enlightenment, and through it Western culture, emerge from a few generations of people moving around a rocky archipelago? How did folklore and myth develop into various forms of “rationality”: science, history, and philosophy? What are the implications of male control over public and private life and the written record? What can be inferred about ancient women if they cannot speak for themselves in the texts? How does slavery work in a culture when it is based on capture rather than racial difference? What do we hear when people in bondage are given voice in epic and drama? Other authors include Sappho, Herodotus, Aeschylus, Sophocles, Euripides, Aristophanes, and Thucydides. The course seeks to develop the skills of close reading and persuasive argumentation. The requirements are three essays, the first ungraded, as well as two take-home, open book tests with time and word limits. Three class hours per week.
Limited to 40 students. Fall semester. Professor Griffiths.

How to handle overenrollment: Classics/Greek/Latin majors should have priority, followed by first-year students.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on reading, writing and speaking",Frederick Griffiths,8,40,Open,,Monday/Wednesday/Friday | 12:00 PM - 12:50 PM,,Monday/Wednesday/Friday | 12:00 PM - 12:50 PM,Monday/Wednesday/Friday,09:00,09:50,Classics,123,01,
Fall 2023,Undergraduate,Lecture,Classics,CLAS 390-01 - Special Topics (Special Topics),CLAS 390 - Special Topics,Special Topics,"Independent reading course.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Intensive reading, writing",,0,0,Open,,,,,,,,Classics,390,01,
Fall 2023,Undergraduate,Lecture,Classics,CLAS 490-01 - Special Topics (Special Topics),CLAS 490 - Special Topics,Special Topics,"Independent reading course.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Intensive reading, writing",,0,0,Open,,,,,,,,Classics,490,01,
Fall 2023,Undergraduate,Lecture,Classics,CLAS 498-01 - Senior Honors (Senior Honors),CLAS 498 - Senior Honors,Senior Honors,"Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Intensive reading, writing",,1,0,Open,,,,,,,,Classics,498,01,
Fall 2023,Undergraduate,Lecture,Colloquium,COLQ 390H-01 - Learning by Doing,COLQ 390H - Learning by Doing,Learning by Doing,"Learning by doing represents a valuable educational experience for all students. This course provides an opportunity to reflect on an internship or other fieldwork experience and to integrate that experience with key learning outcomes expected in a student’s major. Through class meetings and short essays, students will document the work undertaken during the internship, how it relates to prior coursework, and its relationship to possible career paths; reflect on the positive and less good aspects of the internship experience; identify new skills and the personal growth that developed during the internship; and detail the workflow and process of one or more specific tasks or projects undertaken during the internship. The internship or other fieldwork experience must be done over the summer, with course enrollment and coursework completed the following fall. The Colloquium does not count toward major or college degree requirements. This course may be taken no more than twice during a student’s time at Amherst and cannot be taken until a student has declared a major. 
Admission with consent of the instructor. Not open to first-year students. Fall semester. Professor Riondato. 

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on independent research and writing.",Matteo Riondato,15,0,Open,,,,,,,,Colloquium,390H,01,
Fall 2023,Undergraduate,Lecture,Computer Science,COSC 111-01 - Intro Comp Science I,COSC 111 - Intro Comp Science I,Intro Comp Science I,"This course introduces ideas and techniques that are fundamental to computer science. The course emphasizes procedural abstraction, algorithmic methods, and structured design techniques. Students will gain a working knowledge of a block-structured programming language and will use the language to solve a variety of problems illustrating ideas in computer science. A selection of other elementary topics will be presented. A laboratory section will meet once a week to give students practice with programming constructs. Two class hours and one one-hour laboratory per week.
Restricted to Amherst College students. Limited to 40 students per class (20 per lab). In the Fall, 20 seats per class are reserved for first-year students. Fall semester: Professors Pentecost and Riondato. Spring semester: Professor Riondato.

How to handle overenrollment: Preference to first-year and sophomore students. 

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Quantitative Reasoning.",Lillian Pentecost,18,40,Open,,Monday/Wednesday | 12:00 PM - 12:50 PM,,Monday/Wednesday | 12:00 PM - 12:50 PM,Monday/Wednesday,09:00,09:50,Computer Science,111,01,
